Address,DonorName,Date,Time,Amount,Type,VolunteerID
1007 Upper Middle Rd E Oakville ON,Sally Field,July 1 2023,5:00 PM,10,credit,11
1195 North Service Rd E Oakville ON,Sergio Aguerro,July 1 2023,5:30 PM,5,cash,11
1200 Falgarwood Dr Oakville ON, Melva Bright,July 3 2023,3:45 PM,20, cash,1
1011 Upper Middle Rd E Oakville ON, Kelsey Marshall,July 3 2023,4:00 PM,100,check,12
1100 Queens Ave Oakville ON, Rolland Lara,July 4 2023,1:00 PM,5,cash,12
1425 North Service Rd E Oakville ON, Amado Wallace,July 4 2023,1:20 PM,10,cash,12
42 Kirstie Ct Oakville ON, Buster Townsend,July 10 2023,10:00 AM,30,credit,2
1198 McCraney St E Oakville ON,Alexandria Parker,July 11 2023,1:00 PM,50,check,13
131 Romain Crescent Oakville ON,Brent Medina,July 11 2023,1:30 PM,10,cash,14
1214 Napier Crescent Oakville ON,Armando Everett,July 13 2023,3:40 PM,15,cash,14
1311 Sixth Line Oakville ON,Adeline Pacheco,July 13 2023,3:55 PM,20,credit,15
13 Orsett St Oakville ON,Rory Wong,July 13 2023,4:30 PM,30,credit,15
228 Gatwick Dr Oakville ON,Bridget Zhang,July 14 2023,9:00 AM,5,cash,16
171 Littlewood Dr Oakville ON,Annette Lutz,July 14 2023,9:30 AM,3,cash,16
220 Georgian Dr Oakville ON,Cedrick Mccoy,July 14 2023,9:45 AM,5,credit,16
81 Roxton Rd Oakville ON,Terence Ayers,July 18 2023,12:00 PM,10,credit,3
124 Glenashton Dr Oakville ON,Tanner Phelps,July 21 2023,12:30 PM,10,check,17
347 Briarhall Gate Oakville ON,Tabitha Gardner,July 26 2023,8:00 PM,25,credit,17
3123 Streamwood Pass Oakville ON,Gonzalo Ruiz,July 10 2023,9:00 AM,50,cash,4
3151 Buttonbush Trl Oakville ON,Simon Chan,July 13 2023,9:00 AM,50,credit,4
441 Threshing Mill Blvd. Oakville ON,Christi Patterson,July 15 2023,11:00 AM,10,credit,18
3312 Meadow Marsh Cres Oakville ON,Roman Bartlett,July 15 2023,11:30 AM,15,credit,19
2503 Hertfordshire Way Oakville ON,Lynwood Lam,July 17 2023,7:00 PM,20,cash,20
2433 North Ridge Trail Oakville ON,Carey Arias,July 20 2023,11:00 AM,50,cash,20
3301 Trafalgar Rd Oakville ON,Milford Nolan,July 28 2023,1:00 PM,10,credit,20
46 Square One Dr Mississauga ON,Daron Soto,June 5 2022,9:00 AM,10,cash,21
128 Prince of Wales Dr Mississauga ON,Benedict Cook,June 5 2022,9:00 AM,15,credit,21
4141 Living Arts Dr Mississauga ON,Arlie Strickland,June 5 2022,9:00 AM,30,cash,22
339 Rathburn Rd W Mississauga ON, Sue Bean,June 5 2022,9:00 AM,20,check,22
4345 Elora Dr Mississauga ON,Clayton Mckee,June 5 2022,9:00 AM,50,credit,22
4232 Schneider Ct Mississauga ON,Carla Grimes,June 5 2022,9:00 AM,10,credit,5
4265 Guildwood Way Mississauga ON,Cristopher Jones,June 5 2022,9:00 AM,20,cash,24
558 Huntington Ridge Dr Mississauga ON,Jody Parrish,June 10 2022,11:00 AM,25,cash,24
544 Orange Walk Crescent Mississauga ON,Michael Mendoza,June 10 2022,7:00 PM,20,credit,6
588 Farwell Crescent Mississauga ON,Willian Daniel,June 10 2022,7:30 PM,100,credit,23
649 Thamesford Terrace Mississauga ON,Tammy House,June 10 2022,8:00 PM,100,cash,6
675 Huntington Ridge Dr Mississauga ON,Woodrow Wyatt,June 12 2022,9:00 AM,10,cash,23
4258 Goldenrod Crescent Mississauga ON,Glenn Navarro,June 12 2022, 9:30 AM,30,cash,25
935 Summerbreeze Ct Mississauga ON,Henry Oneill,June 12 2022, 9:45 AM,5,credit,25
1060 White Clover Way Mississauga ON,Alissa Rogers,June 23 2022, 5:00 PM,15,cash,26
4635 Wainscot Dr Mississauga ON,Melba Oconnor,June 23 2022,6:00 PM,20,credit,27
871 White Clover Way Mississauga ON,Ingrid Huff,June 30 2022,10:00 AM,25,credit,7
820 Stargazer Dr Mississauga ON,Keri Little,June 30 2022,10:20 AM,50,check,25
4637 Sandford Farm Dr Mississauga ON,Meghan Gonzalez,June 5 2022,9:00 AM,10,cash,26
55 Maple Leaf Cir Brampton ON,Cleo Obrien,July 5 2023,6:00 PM,5,cash,28
8057 McLaughlin Rd S Brampton ON,Freddie Giles,July 5 2023,6:40 PM,20,cash,28
56 Banting Crescent Brampton ON,Reva Stone,July 5 2023,7:00 PM,15,cash,29
47 Banting Crescent Brampton ON,Keenan Farley,July 15 2023,11:00 AM,50,cash,8
16 Pickard Ln Brampton ON,Edith Schmidt,July 15 2023,2:00 PM,40,credit,29
41 Moffatt Ave Brampton ON,Deirdre Hayden,July 15 2023,4:00 AM,10,cash,28
58 Woolridge Ct Brampton ON,Theron Cervantes,July 9 2023,3:00 PM,100,cash,31
45 Kingknoll Dr  Brampton ON,Dwayne Cummings,July10 2023, 11:00 AM,10,cash,31
23 Danum Rd Brampton ON, Noble Hines,July 15 2023,4:00 PM,30,credit,30
70 Windmill Blvd Brampton ON, Adalberto Rivera,July 22 2023,9:00 AM,30,cash,9
5 Tulip Dr Brampton ON, Sherman Carr,July 23 2023,7:00 PM,10,credit,9
4 Scarlett Dr Brampton ON, Deana Sims,July 27 2023,8:00 PM,15,credit,30
7 Mast Dr Brampton ON,Betty David,June 2 2022,3:00 PM,20,credit,10
3 Garny Ct  Brampton ON,Essie Whitehead,June 10 2022,10:00 AM,30,check,32
3 Mast Dr Brampton ON,Susan Moon,June 13 2022,5:00 PM,20,cash,33
32 Parsonby Ct Brampton ON,Odell Duarte,June 13 2022,4:30 PM,40,cash,33
